,lat,long,class,text,time,scale
1261,41.716119,-86.236322,D,2,2,2.8284271247461903
1262,41.717959,-72.786564,D,1,1,2.0
1263,41.71899,-91.651462,D,1,1,2.0
1264,41.723462,-72.664588,D,2,2,2.8284271247461903
1265,41.723759,-72.718386,D,2,2,2.8284271247461903
1266,41.730422,-71.550463,D,1,1,2.0
1267,41.732715,-87.860054,D,1,1,2.0
1268,41.735688,-73.94838,D,2,2,2.8284271247461903
1269,41.744098,-88.096689,D,1,1,2.0
1270,41.75302355,-71.29148069,D,1,1,2.0
1271,41.76345,-73.168971,D,1,1,2.0
1272,41.76576577,-71.55278344,D,1,1,2.0
1273,41.772455,-71.474186,D,4,4,4.0
1274,41.778651,-72.317317,D,2,2,2.8284271247461903
1275,41.794976,-88.224375,D,4,4,4.0
1276,41.801399,-72.742942,D,1,1,2.0
1277,41.814328,-88.151554,D,2,2,2.8284271247461903
1278,41.816203,-87.832153,D,1,1,2.0
1279,41.82158,-87.77903,D,1,1,2.0
1280,41.8296,-72.426995,D,1,1,2.0
1281,41.831901,-88.051015,D,1,1,2.0
1282,41.836409,-71.184442,D,1,1,2.0
1283,41.844383,-87.919829,D,1,1,2.0
1284,41.855075,-88.262986,D,1,1,2.0
1285,41.861729,-88.398748,D,1,1,2.0
1286,41.865006,-87.805698,D,2,2,2.8284271247461903
1287,41.875827,-74.051642,D,1,1,2.0
1288,41.89106,-70.758703,D,1,1,2.0
1289,41.8932,-71.381702,D,3,3,3.4641016151377544
1290,41.895755,-88.101785,D,1,1,2.0
1291,41.913537,-87.731435,D,1,1,2.0
1292,41.930763,-87.968865,D,1,1,2.0
1293,41.931309,-88.153241,D,1,1,2.0
1294,41.932079,-87.673957,D,1,1,2.0
1295,41.935691,-88.263058,D,1,1,2.0
1296,41.938831,-87.747745,D,1,1,2.0
1297,41.941184,-78.691214,D,1,1,2.0
1298,41.949557,-88.124996,D,1,1,2.0
1299,41.967913,-87.790233,D,1,1,2.0
1300,41.972312,-71.286899,D,1,1,2.0
1301,41.972511,-73.925782,D,2,2,2.8284271247461903
1302,41.97693,-70.87244,D,1,1,2.0
1303,41.978038,-71.539542,D,1,1,2.0
1304,41.985455,-86.539968,D,1,1,2.0
1305,41.986006,-93.718311,D,1,1,2.0
1306,41.986293,-88.431293,D,1,1,2.0
1307,41.986627,-88.154356,D,1,1,2.0
1308,41.989279,-88.230526,D,1,1,2.0
1309,41.991308,-91.633686,D,1,1,2.0
1310,41.991795,-124.703541,D,2,2,2.8284271247461903
1311,42.006854,-80.367202,D,1,1,2.0
1312,42.008076,-88.069314,D,1,1,2.0
1313,42.018277,-71.456408,D,1,1,2.0
1314,42.018414,-80.239991,D,1,1,2.0
1315,42.019151,-87.733451,D,3,3,3.4641016151377544
1316,42.022542,-87.975278,D,1,1,2.0
1317,42.024751,-72.606307,D,2,2,2.8284271247461903
1318,42.026652,-88.243545,D,2,2,2.8284271247461903
1319,42.034473,-93.9257,D,1,1,2.0
1320,42.036112,-70.215115,D,1,1,2.0
1321,42.036613,-71.747366,D,1,1,2.0
1322,42.042174,-124.321768,D,1,1,2.0
1323,42.053389,-72.06848,D,1,1,2.0
1324,42.054687,-87.894012,D,1,1,2.0
1325,42.063319,-86.510923,D,1,1,2.0
